,Unnamed: 0,Rank,Metropolitan_Statistical_Area,2019 estimate,City
0,0,1,"New York City-Newark-Jersey City, NY-NJ-PA MSA","19,216,182",New York City
1,1,2,"Los Angeles-Long Beach-Anaheim, CA MSA","13,214,799",Los Angeles
2,2,3,"Chicago-Naperville-Elgin, IL-IN-WI MSA","9,458,539",Chicago
3,3,4,"Dallas-Fort Worth-Arlington, TX MSA","7,573,136",Dallas
4,4,5,"Houston-The Woodlands-Sugar Land, TX MSA","7,066,141",Houston
5,5,6,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","6,280,487",Washington
6,6,7,"Miami-Fort Lauderdale-West Palm Beach, FL MSA","6,166,488",Miami
7,7,8,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","6,102,434",Philadelphia
8,8,9,"Atlanta-Sandy Springs-Alpharetta, GA MSA","6,020,364",Atlanta
9,9,10,"Phoenix-Mesa-Chandler, AZ MSA","4,948,203",Phoenix
10,10,11,"Boston-Cambridge-Newton, MA-NH MSA","4,873,019",Boston
11,11,12,"San Francisco-Oakland-Berkeley, CA MSA","4,731,803",San Francisco
12,12,13,"Riverside-San Bernardino-Ontario, CA MSA","4,650,631",Riverside
13,13,14,"Detroit-Warren-Dearborn, MI MSA","4,319,629",Detroit
14,14,15,"Seattle-Tacoma-Bellevue, WA MSA","3,979,845",Seattle
15,15,16,"Minneapolis-St. Paul-Bloomington, MN-WI MSA","3,654,908",Minneapolis
16,16,17,"San Diego-Chula Vista-Carlsbad, CA MSA","3,338,330",San Diego
17,17,18,"Tampa-St. Petersburg-Clearwater, FL MSA","3,194,831",Tampa
18,18,19,"Denver-Aurora-Lakewood, CO MSA","2,967,239",Denver
19,19,20,"St. Louis, MO-IL MSA","2,803,228","St. Louis, MO"
20,20,21,"Baltimore-Columbia-Towson, MD MSA","2,800,053",Baltimore
21,21,22,"Charlotte-Concord-Gastonia, NC-SC MSA","2,636,883",Charlotte
22,22,23,"Orlando-Kissimmee-Sanford, FL MSA","2,608,147",Orlando
23,23,24,"San Antonio-New Braunfels, TX MSA","2,550,960",San Antonio
24,24,25,"Portland-Vancouver-Hillsboro, OR-WA MSA","2,492,412",Portland
25,25,26,"Sacramento-Roseville-Folsom, CA MSA","2,363,730",Sacramento
26,26,27,"Pittsburgh, PA MSA","2,317,600","Pittsburgh, PA MS"
27,27,28,"Las Vegas-Henderson-Paradise, NV MSA","2,266,715",Las Vegas
28,28,29,"Austin-Round Rock-Georgetown, TX MSA","2,227,083",Austin
29,29,30,"Cincinnati, OH-KY-IN MSA","2,221,208","Cincinnati, OH"
30,30,31,"Kansas City, MO-KS MSA","2,157,990","Kansas City, MO"
31,31,32,"Columbus, OH MSA","2,122,271","Columbus, OH MS"
32,32,33,"Indianapolis-Carmel-Anderson, IN MSA","2,074,537",Indianapolis
33,33,34,"Cleveland-Elyria, OH MSA","2,048,449",Cleveland
34,34,35,"San Jose-Sunnyvale-Santa Clara, CA MSA","1,990,660",San Jose
35,35,36,"Nashville-Davidson-Murfreesboro-Franklin, TN MSA","1,934,317",Nashville
36,36,37,"Virginia Beach-Norfolk-Newport News, VA-NC MSA","1,768,901",Virginia Beach
37,37,38,"Providence-Warwick, RI-MA MSA","1,624,578",Providence
38,38,39,"Milwaukee-Waukesha, WI MSA","1,575,179",Milwaukee
39,39,40,"Jacksonville, FL MSA","1,559,514","Jacksonville, FL MS"
40,40,41,"Oklahoma City, OK MSA","1,408,950","Oklahoma City, OK MS"
41,41,42,"Raleigh-Cary, NC MSA","1,390,785",Raleigh
42,42,43,"Memphis, TN-MS-AR MSA","1,346,045","Memphis, TN"
43,43,44,"Richmond, VA MSA","1,291,900","Richmond, VA MS"
44,44,45,"New Orleans-Metairie, LA MSA","1,270,530",New Orleans
45,45,46,"Louisville/Jefferson County, KY-IN MSA","1,265,108","Louisville/Jefferson County, KY"
46,46,47,"Salt Lake City, UT MSA","1,232,696","Salt Lake City, UT MS"
47,47,48,"Hartford-East Hartford-Middletown, CT MSA","1,204,877",Hartford
48,48,49,"Buffalo-Niagara Falls, NY MSA","1,127,983",Buffalo
49,49,50,"Birmingham-Hoover, AL MSA","1,090,435",Birmingham
50,50,51,"Grand Rapids-Kentwood, MI MSA","1,077,370",Grand Rapids
