,Code,Name,City,Country,Altitude,Latitude,Longitude
3380,ABI,ABILENE RGNL,ABILENE,USA,546,32.411,-99.682
3381,ABQ,,ALBUQUERQUE,USA,0,0,0
3382,ACK,NANTUCKET MEM,NANTUCKET,USA,15,41.253,-70.06
3383,ACT,WACO RGNL,WACO,USA,158,31.611,-97.23
3384,ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,USA,23,39.458,-74.577
3385,ADM,ARDMORE MUNI,ARDMORE,USA,233,34.303,-97.019
3386,ADW,ANDREWS AFB,CAMP SPRINGS,USA,86,38.811,-76.867
3387,AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,USA,28,31.327,-92.548
3388,,,SHEPPARD,USA,0,0,0
3389,AGS,AUGUSTA RGNL AT BUSH FLD,BUSH FIELD,USA,44,33.37,-81.964
3390,AKR,AKRON FULTON INTERNATIONAL,AKRON,USA,326,41.038,-81.467
3391,ALB,ALBANY INTERNATIONAL,ALBANY,USA,87,42.748,-73.803
3393,ALI,ALICE INTERNATIONAL,ALICE,USA,55,27.741,-98.027
3394,AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,1100,35.219,-101.706
3395,ANB,ANNISTON METROPOLITAN,ANNISTON,USA,187,33.588,-85.858
3396,AND,ANDERSON RGNL,ANDERSEN,USA,239,34.495,-82.709
3397,AOO,ALTOONA BLAIR CO,ALTOONA,USA,459,40.296,-78.32
3398,APG,PHILLIPS AAF,ABERDEEN,USA,18,39.466,-76.169
3399,ARA,ACADIANA REGIONAL,LOUISIANA,USA,8,30.038,-91.884
3400,ART,WATERTOWN INTERNATIONAL,WATERTOWN,USA,100,43.992,-76.022
3401,ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,USA,313,33.64,-84.427
3402,AUG,AUGUSTA STATE,AUGUSTA,USA,108,44.321,-69.797
3403,AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,USA,166,30.194,-97.67
3404,,,FORT DEVENS,USA,0,0,0
3405,BAB,BEALE AFB,MARYSVILLE,USA,35,39.136,-121.436
3406,BAD,BARKSDALE AFB,SHREVEPORT,USA,51,32.502,-93.663
3407,BCT,BOCA RATON,BOCA RATON,USA,4,26.378,-80.107
3408,BDE,BAUDETTE INTERNATIONAL,BAUDETTE,USA,332,48.728,-94.612
3409,BDL,BRADLEY INTERNATIONAL,WINDSOR LOCKS,USA,53,41.939,-72.683
3410,BDR,IGOR I SIKORSKY MEM,STRATFORD,USA,3,41.163,-73.126
3411,BED,LAURENCE G HANSCOM FLD,BEDFORD,USA,41,42.47,-71.289
3412,BFI,BOEING FLD KING CO INTERNATIONAL,SEATTLE,USA,6,47.53,-122.302
3413,BFL,MEADOWS FLD,BAKERSFIELD,USA,155,35.433,-119.057
3414,BFM,MOBILE DOWNTOWN,MOBILE,USA,8,30.626,-88.068
3415,BGR,BANGOR INTERNATIONAL,BANGOR,USA,59,44.807,-68.828
3416,,,BIG SPRINGS,USA,0,0,0
3417,BHM,BIRMINGHAM INTERNATIONAL,BIRMINGHAM,USA,197,33.563,-86.753
3418,BIF,BIGGS AAF,EL PASO,USA,1203,31.849,-106.38
3419,BIX,KEESLER AFB,BILOXI,USA,11,30.411,-88.924
3420,BKF,BUCKLEY AFB,BUCKLEY,USA,1726,39.702,-104.751
3421,BLI,BELLINGHAM INTERNATIONAL,BELLINGHAM,USA,52,48.792,-122.537
3422,BLV,SCOTT AFB MIDAMERICA,BELLEVILLE,USA,140,38.545,-89.835
3423,BNA,NASHVILLE INTERNATIONAL,NASHVILLE,USA,183,36.124,-86.678
3424,,,WASHINGTON,USA,0,0,0
