,airline,airline_id,source,source_id,dest,dest_id,equipment
996,4B,20565,LAS,3877,LAX,3484,PL2
997,4B,20565,LAX,3484,LAS,3877,PL2
4793,AA,24,BOS,3448,DCA,3520,319 E90
4795,AA,24,BOS,3448,JFK,3797,738
4796,AA,24,BOS,3448,LAX,3484,738 757
4797,AA,24,BOS,3448,LGA,3697,E90 319
4801,AA,24,BOS,3448,MIA,3576,757 738
4803,AA,24,BOS,3448,ORD,3830,738
4811,AA,24,BOS,3448,SEA,3577,737
5081,AA,24,DCA,3520,BOS,3448,319 E90
5108,AA,24,DCA,3520,JFK,3797,738
5109,AA,24,DCA,3520,LAS,3877,319
5110,AA,24,DCA,3520,LAX,3484,738
5111,AA,24,DCA,3520,LGA,3697,319 E90
5117,AA,24,DCA,3520,MIA,3576,738
5118,AA,24,DCA,3520,MSP,3858,E70 E75
5124,AA,24,DCA,3520,ORD,3830,738 M83 M80
5153,AA,24,DEN,3751,LAX,3484,CR7
5155,AA,24,DEN,3751,MIA,3576,738
5156,AA,24,DEN,3751,ORD,3830,M80 M83
5159,AA,24,DEN,3751,SEA,3577,737
5546,AA,24,IAD,3714,LAX,3484,738
5548,AA,24,IAD,3714,MIA,3576,738
5598,AA,24,JFK,3797,BOS,3448,738
5607,AA,24,JFK,3797,DCA,3520,738
5620,AA,24,JFK,3797,LAS,3877,738
5621,AA,24,JFK,3797,LAX,3484,32B 762
5628,AA,24,JFK,3797,MIA,3576,757 763 738
5631,AA,24,JFK,3797,ORD,3830,738
5640,AA,24,JFK,3797,SEA,3577,738
5641,AA,24,JFK,3797,SFO,3469,32B 763
5675,AA,24,LAS,3877,DCA,3520,320 319
5677,AA,24,LAS,3877,JFK,3797,738
5678,AA,24,LAS,3877,LAX,3484,738
5681,AA,24,LAS,3877,MIA,3576,757 738
5682,AA,24,LAS,3877,ORD,3830,M83 738
5696,AA,24,LAX,3484,BOS,3448,757 738
5699,AA,24,LAX,3484,DCA,3520,738
5700,AA,24,LAX,3484,DEN,3751,CR7
5710,AA,24,LAX,3484,IAD,3714,738
5713,AA,24,LAX,3484,JFK,3797,32B 762
5715,AA,24,LAX,3484,LAS,3877,738
5724,AA,24,LAX,3484,MIA,3576,757 777 763 738
5731,AA,24,LAX,3484,ORD,3830,738
5744,AA,24,LAX,3484,SEA,3577,737
5745,AA,24,LAX,3484,SFO,3469,738
5768,AA,24,LGA,3697,BOS,3448,319 E90
5773,AA,24,LGA,3697,DCA,3520,319 E90
5779,AA,24,LGA,3697,MIA,3576,738
5780,AA,24,LGA,3697,ORD,3830,738
6012,AA,24,MIA,3576,BOS,3448,757 738
6029,AA,24,MIA,3576,DCA,3520,738
6030,AA,24,MIA,3576,DEN,3751,738
6049,AA,24,MIA,3576,IAD,3714,738
6053,AA,24,MIA,3576,JFK,3797,763 757 738
6055,AA,24,MIA,3576,LAS,3877,738 757
6056,AA,24,MIA,3576,LAX,3484,777 763 757 738
6057,AA,24,MIA,3576,LGA,3697,738
6073,AA,24,MIA,3576,MSP,3858,738
6078,AA,24,MIA,3576,ORD,3830,738 763
6101,AA,24,MIA,3576,SEA,3577,757
6102,AA,24,MIA,3576,SFO,3469,763 757 738
6141,AA,24,MSP,3858,DCA,3520,E75 E70
6143,AA,24,MSP,3858,MIA,3576,738
6144,AA,24,MSP,3858,ORD,3830,E75 CR7
6237,AA,24,ORD,3830,BOS,3448,738
6254,AA,24,ORD,3830,DCA,3520,738 M83 M80
6255,AA,24,ORD,3830,DEN,3751,M80 M83
6280,AA,24,ORD,3830,JFK,3797,738
6281,AA,24,ORD,3830,LAS,3877,M83 738
6282,AA,24,ORD,3830,LAX,3484,738
6284,AA,24,ORD,3830,LGA,3697,738
6297,AA,24,ORD,3830,MIA,3576,738 763
6302,AA,24,ORD,3830,MSP,3858,E75 CR7
6326,AA,24,ORD,3830,SEA,3577,738
6327,AA,24,ORD,3830,SFO,3469,738
6741,AA,24,SEA,3577,BOS,3448,737
6744,AA,24,SEA,3577,DEN,3751,737
6747,AA,24,SEA,3577,JFK,3797,738
6749,AA,24,SEA,3577,LAX,3484,737
6754,AA,24,SEA,3577,MIA,3576,757
6757,AA,24,SEA,3577,ORD,3830,738
6762,AA,24,SEA,3577,SFO,3469,737
6772,AA,24,SFO,3469,JFK,3797,763 32B
6773,AA,24,SFO,3469,LAX,3484,738
6775,AA,24,SFO,3469,MIA,3576,757 763 738
6776,AA,24,SFO,3469,ORD,3830,738
6782,AA,24,SFO,3469,SEA,3577,737
9622,AF,137,LAX,3484,MSP,3858,757
9764,AF,137,MSP,3858,LAX,3484,757
9767,AF,137,MSP,3858,SEA,3577,753
9768,AF,137,MSP,3858,SFO,3469,753
11598,AS,439,BOS,3448,LAX,3484,738 757
11603,AS,439,BOS,3448,SEA,3577,73J 73H
11617,AS,439,DCA,3520,LAX,3484,73H
11619,AS,439,DCA,3520,SEA,3577,73H
11620,AS,439,DEN,3751,LAX,3484,CR7
11621,AS,439,DEN,3751,SEA,3577,739 73G 73H
11671,AS,439,JFK,3797,LAX,3484,321 762
11673,AS,439,JFK,3797,SEA,3577,738
11674,AS,439,JFK,3797,SFO,3469,321 763
11693,AS,439,LAS,3877,SEA,3577,73G 73H 739 73J
11700,AS,439,LAX,3484,BOS,3448,757 738
11702,AS,439,LAX,3484,DCA,3520,73H
11703,AS,439,LAX,3484,DEN,3751,CR7
11711,AS,439,LAX,3484,JFK,3797,321 762
11718,AS,439,LAX,3484,MIA,3576,757 777 763 738
11725,AS,439,LAX,3484,ORD,3830,738
11734,AS,439,LAX,3484,SEA,3577,73H 734 739 73J 73G
11735,AS,439,LAX,3484,SFO,3469,738
11767,AS,439,MIA,3576,LAX,3484,777 763 757 738
11768,AS,439,MIA,3576,SFO,3469,763 757 738
11774,AS,439,MSP,3858,LAX,3484,753 757
11776,AS,439,MSP,3858,SEA,3577,739 73G 73J
11801,AS,439,ORD,3830,LAX,3484,738
11805,AS,439,ORD,3830,SEA,3577,73H 739 73J
11806,AS,439,ORD,3830,SFO,3469,738
11916,AS,439,SEA,3577,BOS,3448,73H 73J
11920,AS,439,SEA,3577,DCA,3520,73H
11921,AS,439,SEA,3577,DEN,3751,73G 73H 739
11934,AS,439,SEA,3577,JFK,3797,738
11938,AS,439,SEA,3577,LAS,3877,73H 739 73G 73J
11939,AS,439,SEA,3577,LAX,3484,73J 739 73G 734 73H
11947,AS,439,SEA,3577,MSP,3858,739 73G 73J
11952,AS,439,SEA,3577,ORD,3830,739 73J 73H
11964,AS,439,SEA,3577,SFO,3469,73J 734 73G 73H 739
11979,AS,439,SFO,3469,JFK,3797,763 321
11980,AS,439,SFO,3469,LAX,3484,738
11981,AS,439,SFO,3469,MIA,3576,757 763 738
11982,AS,439,SFO,3469,ORD,3830,738
11986,AS,439,SFO,3469,SEA,3577,73H 734 73G 73J 739
13920,B6,3029,BOS,3448,DCA,3520,320 E90
13921,B6,3029,BOS,3448,DEN,3751,320
13928,B6,3029,BOS,3448,IAD,3714,E90
13930,B6,3029,BOS,3448,JFK,3797,320 E90
13931,B6,3029,BOS,3448,LAS,3877,320
13932,B6,3029,BOS,3448,LAX,3484,320
13937,B6,3029,BOS,3448,ORD,3830,320 E90
13951,B6,3029,BOS,3448,SEA,3577,320
13952,B6,3029,BOS,3448,SFO,3469,320
13976,B6,3029,DCA,3520,BOS,3448,E90 320
13981,B6,3029,DEN,3751,BOS,3448,320
13982,B6,3029,DEN,3751,JFK,3797,320
14039,B6,3029,IAD,3714,BOS,3448,E90
14041,B6,3029,IAD,3714,JFK,3797,E90
14053,B6,3029,JFK,3797,BOS,3448,E90 320
14062,B6,3029,JFK,3797,DEN,3751,320
14067,B6,3029,JFK,3797,IAD,3714,E90
14071,B6,3029,JFK,3797,LAS,3877,320
14072,B6,3029,JFK,3797,LAX,3484,320
14082,B6,3029,JFK,3797,ORD,3830,320 E90
14099,B6,3029,JFK,3797,SEA,3577,320
14100,B6,3029,JFK,3797,SFO,3469,320
14114,B6,3029,LAS,3877,BOS,3448,320
14115,B6,3029,LAS,3877,JFK,3797,320
14117,B6,3029,LAX,3484,BOS,3448,320
14120,B6,3029,LAX,3484,JFK,3797,320
